City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
373,bodo,67.28,14.405,6.54,90,75,9.26,NO,1716096631
374,luderitz,-26.6481,15.1594,19.94,46,34,2.51,NA,1716096631
375,santa cruz,-17.8,-63.1667,14.7,82,100,8.23,BO,1716096631
376,emet,39.343,29.2585,21.09,58,100,2.1,TR,1716096631
377,karratha,-20.7377,116.8463,29.47,23,0,8.24,AU,1716096632
378,ridgecrest,35.6225,-117.6709,25.92,38,0,8.05,US,1716096632
379,vila franca do campo,37.7167,-25.4333,18.27,99,94,1.17,PT,1716096632
380,llano bonito,7.9667,-80.4333,27.38,84,94,3.13,PA,1716096632
381,iwanai,42.9744,140.5089,19.85,35,61,2.08,JP,1716096632
382,marsh harbour,26.5412,-77.0636,27.02,81,100,6.01,BS,1716096632
383,manzini,-26.25,31.5,17.19,76,38,0.4,SZ,1716096633
384,bubaque,11.2833,-15.8333,26.84,70,88,6.52,GW,1716096633
385,campina grande do sul,-25.3056,-49.0553,13.06,99,100,1.57,BR,1716096633
386,fomboni,-12.28,43.7425,28.11,78,66,8.44,KM,1716096633
387,tshabong,-26.05,22.45,17.31,31,0,3.61,BW,1716096633
388,cidreira,-30.1811,-50.2056,13.9,89,100,2.85,BR,1716096633
389,puerto leguizamo,-0.1934,-74.7819,22.63,99,100,1.13,CO,1716096634
390,choyr,46.3611,108.3611,19.4,23,34,6.45,MN,1716096634
391,gorontalo,0.5412,123.0595,31.33,63,72,4.06,ID,1716096634
392,kingston,17.997,-76.7936,28.53,74,20,2.06,JM,1716096634
393,paracuru,-3.41,-39.0306,26.17,93,15,2.68,BR,1716096634
394,swift current,50.2834,-107.8014,5.45,70,0,4.12,CA,1716096634
395,khovd,48.0056,91.6419,27.6,6,68,1.96,MN,1716096635
396,dedza,-14.3779,34.3332,14.15,83,71,2.7,MW,1716096635
397,nago,26.5881,127.9761,28.47,80,80,6.21,JP,1716096635
398,trinidad,-14.8333,-64.9,19.77,76,93,3.15,BO,1716096635
399,mirny,62.5353,113.9611,5.69,39,86,1.34,RU,1716096635
400,west lafayette,40.4259,-86.9081,21.12,82,8,2.67,US,1716096635
401,bria,6.5423,21.9863,22.48,96,100,1.75,CF,1716096635
402,benguela,-12.5763,13.4055,24.17,43,58,2.65,AO,1716096636
403,mount pearl,47.5166,-52.7813,2.2,94,75,3.6,CA,1716096546
404,valparaiso,-33.0393,-71.6273,11.75,87,0,2.06,CL,1716096636
405,rabigh,22.7986,39.0349,33.14,46,0,3.07,SA,1716096636
406,chinhoyi,-17.3667,30.2,17.32,39,0,3.02,ZW,1716096636
407,shimoda,34.6667,138.95,19.2,79,100,2.13,JP,1716096637
408,kargasok,59.0556,80.8572,3.87,82,99,3.58,RU,1716096637
409,tannum sands,-23.9504,151.3693,24.3,40,0,3.09,AU,1716096637
410,vorgashor,67.5833,63.95,-3.44,96,100,7.05,RU,1716096637
411,cabo san lucas,22.8909,-109.9124,24.78,56,0,3.68,MX,1716096628
412,suez,29.9737,32.5263,29.87,23,27,3.17,EG,1716096637
413,kelso,46.1468,-122.9084,9.92,71,0,1.54,US,1716096637
414,mahibadhoo,3.7833,72.9667,28.93,79,94,11.44,MV,1716096638
415,quelimane,-17.8786,36.8883,21.97,94,40,2.66,MZ,1716096638
416,laguna,38.421,-121.4238,17.32,81,0,5.14,US,1716096638
417,kulhudhuffushi,6.6221,73.07,29.66,77,100,8.99,MV,1716096638
418,muana,-1.5283,-49.2167,23.68,96,78,1.03,BR,1716096638
419,znamenskoye,57.1281,73.8282,7.93,67,99,6.56,RU,1716096638
420,moyynkum,44.2914,72.9469,20.9,53,41,11.85,KZ,1716096639
421,san andres,12.5847,-81.7006,29.01,79,20,4.12,CO,1716096639
422,plastun,44.7561,136.2939,16.46,38,93,2.61,RU,1716096639
423,sfax,34.7406,10.7603,23.08,83,20,4.63,TN,1716096639
424,kibre mengist,5.8833,38.9833,18.27,92,80,0.21,ET,1716096639
425,tosontsengel,48.7567,98.2839,22.55,14,49,4.59,MN,1716096639
426,parabel',58.6978,81.4825,2.73,95,88,5.36,RU,1716096640
427,kismayo,-0.3582,42.5454,29.21,71,97,8.0,SO,1716096640
428,grabo,57.8363,12.2995,14.55,70,0,2.06,SE,1716096640
429,howard springs,-12.497,131.047,32.21,49,2,4.1,AU,1716096640
430,kota belud,6.351,116.4305,30.27,75,51,2.35,MY,1716096640
431,svetlyy,54.675,20.1347,15.2,68,2,3.57,RU,1716096640
432,belyy yar,53.6039,91.3903,19.94,37,0,2.0,RU,1716096640
433,sitka,57.0531,-135.33,8.94,61,75,6.17,US,1716096641
434,plouzane,48.3833,-4.6167,13.18,100,100,1.54,FR,1716096641
435,kwang binh,17.4833,106.6,36.01,49,100,2.58,VN,1716096641
436,muleba,-1.8397,31.6544,22.12,69,48,2.63,TZ,1716096641
437,karonga,-9.9333,33.9333,23.18,71,71,0.52,MW,1716096641
438,bonthe,7.5264,-12.505,26.98,83,100,0.82,SL,1716096641
439,junction city,39.0286,-96.8314,21.89,64,0,1.54,US,1716096642
440,salina,38.8403,-97.6114,24.07,62,0,4.63,US,1716096642
441,gaspra,44.4333,34.1,14.06,67,58,1.85,UA,1716096642
442,polyarnyy,69.1989,33.4478,0.75,100,100,3.15,RU,1716096642
443,sayat,38.7839,63.8803,16.93,35,75,4.17,TM,1716096642
444,prince albert,53.2001,-105.7677,5.39,84,100,3.09,CA,1716096642
445,i-n-salah,27.1935,2.4607,28.74,15,3,2.3,DZ,1716096643
446,teknaf,20.8624,92.3058,32.37,64,52,5.3,BD,1716096643
447,piranshahr,36.701,45.1413,16.78,46,2,1.84,IR,1716096643
448,san luis de la loma,17.2706,-100.8939,27.23,77,4,0.43,MX,1716096643
449,fort st. john,56.2499,-120.8529,6.94,76,75,4.12,CA,1716096458
450,new norfolk,-42.7826,147.0587,14.28,61,59,1.25,AU,1716096643
451,carutapera,-1.195,-46.02,23.85,95,29,1.63,BR,1716096644
452,padre paraiso,-17.0742,-41.4844,15.62,97,16,0.31,BR,1716096644
453,nishinoomote,30.7333,131.0,22.31,83,75,5.14,JP,1716096644
454,bangar,16.8936,120.4243,30.93,68,83,2.78,PH,1716096644
455,sitangkai,4.6628,119.3928,29.72,65,34,2.12,PH,1716096644
456,yeppoon,-23.1333,150.7333,26.81,52,0,3.44,AU,1716096644
457,macapa,0.0389,-51.0664,24.99,100,75,1.03,BR,1716096645
458,nola,40.922,14.5329,20.35,98,97,0.53,IT,1716096645
459,sorong,-0.8833,131.25,28.11,86,100,5.29,ID,1716096645
460,knyaze-volkonskoye,48.4642,135.4567,18.19,24,81,7.15,RU,1716096645
461,mount gambier,-37.8333,140.7667,13.85,79,94,5.02,AU,1716096628
462,kharan,28.5833,65.4167,34.66,20,1,0.84,PK,1716096645
463,ixtapa,20.7,-105.2,24.57,83,0,1.03,MX,1716096645
464,benghazi,32.1167,20.0667,27.52,37,42,4.77,LY,1716096646
465,puerto armuelles,8.2833,-82.8667,28.94,72,80,2.24,PA,1716096646
466,ataq,14.5377,46.8319,29.36,35,7,3.86,YE,1716096646
467,opuwo,-18.0607,13.84,13.33,30,0,3.36,NA,1716096646
468,amursk,50.2261,136.8994,16.1,16,0,8.38,RU,1716096646
469,pervomayskoye,43.919,46.7102,18.75,43,5,1.94,RU,1716096646
470,khilok,51.3674,110.4676,20.54,19,76,4.44,RU,1716096646
471,petrovsk-zabaykal'skiy,51.273,108.843,21.41,24,68,5.11,RU,1716096647
472,nizhneangarsk,55.7833,109.55,3.89,66,72,0.45,RU,1716096647
473,aykhal,66.0,111.5,-1.84,71,43,3.41,RU,1716096647
474,menongue,-14.6585,17.691,11.83,46,1,1.65,AO,1716096647
475,rio verde de mato grosso,-18.9181,-54.8442,19.37,85,27,2.01,BR,1716096648
476,cassilandia,-19.1133,-51.7342,19.94,54,2,1.69,BR,1716096648
477,colonia,50.9333,6.95,14.41,91,75,0.51,DE,1716096648
478,alice springs,-23.7,133.8833,18.75,24,0,7.72,AU,1716096648
479,myeik,12.4333,98.6,32.08,62,98,1.93,MM,1716096648
480,terrace,54.5163,-128.6035,10.95,57,75,2.06,CA,1716096648
481,jiazi,22.8779,116.067,22.5,91,100,7.76,CN,1716096648
482,cozumel,20.5083,-86.9458,29.04,79,40,3.09,MX,1716096496
483,dudinka,69.4058,86.1778,-8.51,91,63,3.58,RU,1716096649
484,krasnoyarsk,56.0097,92.7917,24.34,29,92,3.92,RU,1716096649
485,kachia,9.8667,7.95,23.0,87,93,1.56,NG,1716096649
486,yuzhno-kurilsk,44.0306,145.8556,14.65,51,39,6.42,RU,1716096649
487,kudahuvadhoo,2.6708,72.8944,29.08,79,99,11.56,MV,1716096649
488,hammerfest,70.6634,23.6821,1.25,86,100,2.06,NO,1716096649
489,port blair,11.6667,92.75,27.02,89,100,1.54,IN,1716096384
490,soledade,-28.8183,-52.5103,9.24,94,100,2.83,BR,1716096650
491,mhamid,29.82,-5.72,18.7,42,19,5.15,MA,1716096650
492,kisi,9.0833,3.85,24.96,89,72,3.45,NG,1716096650
493,ambodifotatra,-16.9833,49.85,25.97,77,99,5.33,MG,1716096650
494,ofunato,39.0717,141.7167,21.36,51,100,2.95,JP,1716096650
495,susuman,62.7833,148.1667,12.77,57,100,5.36,RU,1716096650
496,bamboo flat,11.7,92.7167,27.05,89,100,1.54,IN,1716096651
497,polski trambesh,43.3836,25.6497,15.3,89,100,0.85,BG,1716096651
498,pingxiang,27.6167,113.85,22.06,95,100,0.66,CN,1716096651
499,sao miguel do araguaia,-13.275,-50.1628,21.67,54,0,1.11,BR,1716096651
500,kuta,-8.7233,115.1723,30.97,66,40,6.17,ID,1716096651
501,la punta,-33.1837,-66.3127,6.51,64,6,5.09,AR,1716096651
502,komsomolets,53.7453,62.0708,8.09,62,100,9.93,KZ,1716096652
503,hecun,36.5333,114.1111,36.68,19,97,4.39,CN,1716096652
504,dalandzadgad,43.5708,104.425,21.43,16,100,4.89,MN,1716096652
505,charters towers,-20.1,146.2667,23.4,17,96,6.43,AU,1716096526
506,margate,51.3813,1.3862,12.17,91,16,1.34,GB,1716096652
507,brigantine,39.4101,-74.3646,14.0,97,99,1.79,US,1716096653
508,martapura,-3.4167,114.85,31.05,70,40,2.57,ID,1716096653
509,seneca,41.1167,-83.1166,16.65,93,2,1.63,US,1716096653
510,sidi ifni,29.3797,-10.173,15.69,84,43,4.4,MA,1716096653
511,el calafate,-50.3408,-72.2768,2.15,77,32,1.33,AR,1716096653
512,birjand,32.8663,59.2211,24.26,23,75,6.17,IR,1716096653
513,beloslav,43.1833,27.7,15.06,88,75,2.57,BG,1716096653
514,tame,6.461,-71.73,21.93,90,100,0.77,CO,1716096654
515,nguigmi,14.2495,13.1092,27.75,14,17,4.35,NE,1716096654
516,nelson bay,-32.7167,152.15,18.89,67,87,1.34,AU,1716096654
517,belmonte,-15.8631,-38.8828,23.83,72,55,1.36,BR,1716096654
518,illizi,26.4833,8.4667,30.89,24,77,0.74,DZ,1716096654
519,akureyri,65.6835,-18.0878,0.96,64,100,2.06,IS,1716096654
520,rasshevatskaya,45.5748,41.035,15.87,60,47,2.74,RU,1716096655
521,tamanrasset,22.785,5.5228,26.95,21,40,2.06,DZ,1716096655
522,cam ranh,11.9214,109.1591,32.98,58,20,3.6,VN,1716096655
523,flying fish cove,-10.4217,105.6791,27.82,78,100,5.66,CX,1716096655
524,morehead city,34.7229,-76.726,21.0,87,100,3.09,US,1716096655
525,effingham,32.3669,-81.3332,21.97,97,97,1.95,US,1716096655
526,krasnokamensk,50.0979,118.0369,20.16,19,100,6.79,RU,1716096655
527,tataouine,32.9297,10.4518,30.63,29,49,6.93,TN,1716096656
528,kruisfontein,-34.0033,24.7314,15.29,56,28,2.86,ZA,1716096656
529,yanam,16.7333,82.2167,36.43,45,68,2.62,IN,1716096656
530,merizo village,13.2658,144.6691,31.31,82,96,8.01,GU,1716096656
531,riverton,40.5219,-111.9391,20.58,44,0,4.92,US,1716096656
532,lobujya,27.95,86.8167,0.35,77,56,2.14,NP,1716096656
533,okha,53.5739,142.9478,3.47,90,100,4.02,RU,1716096656
534,envira,-7.3,-70.2167,22.76,95,84,0.55,BR,1716096657
535,arvi,20.9833,78.2333,37.42,30,4,2.02,IN,1716096657
536,lazaro cardenas,17.9583,-102.2,25.27,84,36,1.02,MX,1716096657
537,san juan de miraflores,-12.1629,-76.9635,18.98,84,90,2.16,PE,1716096657
538,villa el carmen,11.9801,-86.5057,28.65,76,21,3.81,NI,1716096657
539,axim,4.8699,-2.2405,26.78,88,67,3.11,GH,1716096657
540,muisne,0.6,-80.0333,25.37,88,100,2.97,EC,1716096658
541,tafuna,-14.3358,-170.72,28.97,84,40,5.66,AS,1716096658
542,bhindar,24.5,74.1833,40.14,10,11,5.08,IN,1716096658
543,alaghsas,17.0187,8.0168,28.94,14,84,2.06,NE,1716096658
544,arno,60.1167,18.6333,9.88,54,7,4.33,SE,1716096658
545,jiquipilas,16.6667,-93.65,24.46,88,100,1.08,MX,1716096658
546,yokadouma,3.5167,15.05,21.59,99,100,0.99,CM,1716096658
